
Prog.:RMV8I REV. 11.02.00.14          Date :11/02/2023    11:44  Page :      1
Auth.: ** BENTLEY Systems Sunrise **


DIEN BIEN PHU BRIDGE
FCM 45+70+70+45M


                      LOADCASE: 1603 - Internally created

                    Units :	 Length(m),Force(kN),Moment(kNm)
                              Element group : BEAM

    RESULTS   : NODE DISPLACEMENT - GLOBAL [ FACTOR:   1000.000 ]

       No        VX        VY        VZ     PHI-X     PHI-Y     PHI-Z

        1   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
        2   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
        3   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
        4   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
        5   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
        6   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
        7   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
        8   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
        9   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       10   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       11   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       12   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       13   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       14   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       15   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       16   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       17   0.01571  -0.56368   0.00000   0.00000   0.00000  -0.01088
       18   0.01222  -0.54623   0.00000   0.00000   0.00000  -0.01144
       19   0.01179  -1.09208   0.00000   0.00000   0.00000  -0.00640
       20   0.00532  -1.06639   0.00000   0.00000   0.00000   0.00071
       21  -0.00081  -1.09370   0.00000   0.00000   0.00000   0.00784
       22  -0.00044  -0.55231   0.00000   0.00000   0.00000   0.01278
       23  -0.00368  -0.57147   0.00000   0.00000   0.00000   0.01215
       24   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       25   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       26   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       27   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       28   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       29   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       30   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       31   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       32   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       33   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       34   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       35   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       36   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       37   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       38   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       39   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       40   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       41   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       42   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       43   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       44   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       45   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       46   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       47   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       48   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       49   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       50   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       51   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       52   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       53   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       54   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       55   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       56   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       57   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       58   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       59   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       60   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       61   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       62   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       63   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       64   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       65   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       66   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       67   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       68   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       69   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       70   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
       71   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
